نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا, الرياض, الرياض ,شمالية,6,2,5+,20.0,395.0,1,1,1,1,1,1,0,0,1,0,3500000
فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,20.0,312.0,0,1,0,0,0,0,0,0,0,0,3500000
فيلا, الرياض , حي العليا ,شمالية,5,2,5+,10.0,540.0,1,1,1,1,1,1,1,0,1,0,3000000
فيلا, الرياض , حي الصحافة ,شمالية,6,2,5+,15.0,375.0,1,1,1,1,1,1,0,0,1,1,4880000
فيلا, الرياض , حي العارض ,شمالية,5,2,5+,30.0,483.0,1,1,1,1,1,1,1,0,1,0,3900000
فيلا, الرياض , حي المروج ,جنوبية,5,3,5+,20.0,350.0,1,1,1,1,1,1,0,0,1,1,4000000
فيلا, الدرعية, العيينة ,شرقية,7+,3,5+,20.0,500.0,1,1,1,1,1,1,1,0,1,1,5300000
فيلا, الرياض , حي العقيق ,شمالية,5,2,5+,15.0,312.0,1,1,1,1,1,1,0,0,1,1,3600000
فيلا, الدرعية, العيينة ,شرقية,4,2,5+,15.0,500.0,1,1,1,0,0,1,0,0,1,1,1400000
فيلا, الرياض , حي الملقا ,شمالية,5,3,5+,15.0,540.0,1,1,1,1,1,1,0,0,1,0,5500000
فيلا, الرياض , حي المروج ,شمالية,4,1,4,15.0,312.0,0,1,1,1,0,1,0,0,1,0,2000000
فيلا, الرياض , حي الياسمين ,جنوبية غربية,3,3,3,20.0,370.0,1,1,0,1,0,1,0,0,1,0,3250000
فيلا, الرياض , حي النرجس ,جنوبية,7+,2,5+,15.0,250.0,1,1,1,0,0,1,0,0,1,1,2500000
فيلا, الرياض , حي النرجس ,شمالية,6,2,5+,15.0,254.0,1,1,0,0,1,1,0,0,1,0,2450000
فيلا, امارة منطقة الرياض, حي الفلاح ,غربية,5,3,5+,20.0,520.0,1,1,1,1,0,1,1,0,1,1,6500000
فيلا, الرياض , حي الرحمانية ,شمالية,4,2,5+,20.0,300.0,1,1,1,1,0,1,0,0,1,1,4500000
فيلا, الرياض , حي الملقا ,شمالية شرقية,5,2,5+,25.0,600.0,1,1,1,1,1,1,1,0,1,1,6500000
فيلا, الرياض , حي القيروان ,جنوبية,5,2,5+,20.0,457.0,1,1,1,1,0,1,0,0,1,1,5200000
فيلا, الرياض , حي الملقا ,جنوبية,5,2,5+,15.0,343.0,1,1,1,1,0,1,0,0,1,1,4600000
فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,15.0,250.0,1,1,1,0,0,1,0,0,0,0,2600000
فيلا, الرياض , حي حطين ,شمالية,7+,2,5+,15.0,500.0,1,1,1,1,1,1,0,0,1,0,6300000
فيلا, الرياض , حي القيروان ,شمالية,5,3,5+,20.0,360.0,1,1,1,1,1,1,0,0,1,1,4300000
فيلا, الرياض , حي القيروان ,شمالية,4,5,5+,15.0,360.0,0,1,1,1,1,1,0,0,1,1,3800000
فيلا, الدرعية, العيينة ,ثلاث شوارع,7+,1,4,لا يوجد,565.0,1,1,0,1,1,0,0,0,1,0,2000000
فيلا, الرياض , حي الملك فهد ,جنوبية غربية,6,2,5+,20.0,625.0,1,1,1,1,0,0,0,0,0,0,3400000
فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,20.0,250.0,1,1,1,0,1,1,0,0,1,0,2350000
فيلا, الرياض , حي المروج ,جنوبية,3,2,4,15.0,300.0,0,1,1,0,0,1,0,0,0,0,2200000
فيلا, الرياض , حي العارض ,جنوبية,4,3,5+,20.0,336.0,0,1,1,0,1,1,1,0,1,1,2750000
فيلا, الرياض , حي الملقا7541 ,شمالية,3,1,3,21.0,252.0,1,1,0,0,0,0,0,0,0,1,3200000
فيلا, الرياض , حي العليا ,غربية,4,1,5+,12.0,210.0,1,1,1,0,0,1,0,0,1,0,2400000
فيلا, الرياض , حي النرجس ,شمالية شرقية,5,4,5+,15.0,344.0,1,1,1,1,1,1,1,0,1,1,4200000
فيلا, الرياض , حي العارض ,جنوبية شرقية,7+,5,5+,15.0,352.0,1,1,1,1,1,1,1,0,1,1,4000000
فيلا, الرياض , حي النرجس ,غربية,4,2,4,20.0,300.0,1,1,1,0,0,1,0,0,1,0,3000000
فيلا, الرياض , حي الملك فهد ,شمالية شرقية,6,2,5+,20.0,420.0,0,1,1,1,1,1,0,0,1,0,2400000
فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,20.0,338.0,1,1,1,1,0,1,0,0,1,1,2800000
فيلا, الرياض , حي النرجس ,غربية,5,3,5+,15.0,325.0,0,1,1,1,0,1,0,0,1,1,3300000
فيلا, الرياض , حي الملقا ,شمالية,6,5,5+,20.0,450.0,1,1,1,1,1,1,0,0,1,1,5500000
فيلا, الرياض , حي النرجس ,غربية,6,3,5+,15.0,360.0,1,1,1,0,1,1,0,0,1,1,3550000
فيلا, الرياض , حي النرجس ,شمالية غربية,4,1,4,15.0,210.0,1,1,1,1,1,1,0,0,1,1,2300000
فيلا, الرياض, الرياض ,شمالية,5,4,5+,10.0,239.0,1,1,1,1,1,1,0,0,1,1,3499000
فيلا, الرياض , حي صلاح الدين ,غربية,5,5,5+,12.0,699.0,0,1,1,1,1,1,1,1,1,1,7500000
فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,25.0,813.0,1,1,1,1,1,1,1,0,1,1,14000000
فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,20.0,375.0,1,1,1,1,0,1,0,0,1,0,3200000
فيلا, الرياض , حي الندى ,غربية,5,3,5+,15.0,300.0,0,1,1,1,0,1,1,1,1,0,3600000
فيلا, الرياض , حي النفل ,شمالية غربية,7+,2,5+,20.0,450.0,1,1,1,1,1,1,0,1,1,0,4000000
فيلا, الرياض , حي النرجس ,جنوبية,6,2,5+,15.0,375.0,1,1,1,1,1,1,1,0,1,1,3650000
فيلا, الرياض , حي النرجس ,جنوبية,5,4,5+,25.0,360.0,1,1,1,1,1,1,0,0,1,1,4200000
فيلا, الدرعية, العيينة ,شرقية,5,4,5+,20.0,250.0,1,1,1,0,0,1,0,0,1,0,1600000
فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,15.0,216.0,1,1,1,0,0,1,0,0,1,1,2100000
فيلا, الرياض , حي العارض ,غربية,7+,3,5+,15.0,360.0,1,1,1,1,1,1,0,0,1,0,2800000
فيلا, الرياض , حي العارض ,جنوبية,5,5,5+,15.0,375.0,1,1,1,1,0,1,0,0,1,0,3000000
